Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:333: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:410: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
$M_i\geq-25.0, 1.0<z \leq2.0$
Pixels masked by MC but not already by selfunc: 3840
G20.5_zmin1.0zmax2.0_Lmax-25.0: 0.33              336125 vs 502242
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
1it [00:00,  2.34it/s, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf < -5706.600 <    inf | logz: -5713.509 +/-  0.117 | dlogz:    inf >  0.010]
2it [00:00,  2.18it/s, bound: 0 | nc: 1 | ncall: 502 | eff(%):  0.398 | loglstar:   -inf < -3657.718 <    inf | logz: -3664.630 +/-  0.118 | dlogz: 5768.543 >  0.010]
3it [00:01,  2.11it/s, bound: 0 | nc: 1 | ncall: 503 | eff(%):  0.596 | loglstar:   -inf < -2254.494 <    inf | logz: -2261.407 +/-  0.118 | dlogz: 3719.662 >  0.010]
4it [00:01,  2.19it/s, bound: 0 | nc: 1 | ncall: 504 | eff(%):  0.794 | loglstar:   -inf < -2087.787 <    inf | logz: -2094.703 +/-  0.118 | dlogz: 2316.437 >  0.010]
5it [00:02,  2.18it/s, bound: 0 | nc: 1 | ncall: 505 | eff(%):  0.990 | loglstar:   -inf < -1328.044 <    inf | logz: -1334.961 +/-  0.118 | dlogz: 2149.730 >  0.010]
6it [00:02,  2.14it/s, bound: 0 | nc: 1 | ncall: 506 | eff(%):  1.186 | loglstar:   -inf < -791.114 <    inf | logz: -798.034 +/-  0.118 | dlogz: 1389.987 >  0.010]  
7it [00:03,  2.17it/s, bound: 0 | nc: 1 | ncall: 507 | eff(%):  1.381 | loglstar:   -inf < -788.822 <    inf | logz: -795.560 +/-  0.113 | dlogz: 853.058 >  0.010] 
8it [00:03,  2.22it/s, bound: 0 | nc: 1 | ncall: 508 | eff(%):  1.575 | loglstar:   -inf < -565.983 <    inf | logz: -572.907 +/-  0.118 | dlogz: 850.581 >  0.010]
9it [00:04,  2.15it/s, bound: 0 | nc: 1 | ncall: 509 | eff(%):  1.768 | loglstar:   -inf < -520.245 <    inf | logz: -527.171 +/-  0.118 | dlogz: 627.926 >  0.010]
10it [00:04,  2.13it/s, bound: 0 | nc: 1 | ncall: 510 | eff(%):  1.961 | loglstar:   -inf < -477.081 <    inf | logz: -484.009 +/-  0.118 | dlogz: 582.188 >  0.010]
11it [00:05,  2.23it/s, bound: 0 | nc: 1 | ncall: 511 | eff(%):  2.153 | loglstar:   -inf < -460.596 <    inf | logz: -467.526 +/-  0.118 | dlogz: 539.025 >  0.010]
12it [00:05,  2.15it/s, bound: 0 | nc: 1 | ncall: 512 | eff(%):  2.344 | loglstar:   -inf < -458.232 <    inf | logz: -464.991 +/-  0.113 | dlogz: 522.539 >  0.010]
13it [00:06,  2.11it/s, bound: 0 | nc: 1 | ncall: 513 | eff(%):  2.534 | loglstar:   -inf < -457.377 <    inf | logz: -463.652 +/-  0.107 | dlogz: 520.002 >  0.010]
14it [00:06,  2.22it/s, bound: 0 | nc: 1 | ncall: 514 | eff(%):  2.724 | loglstar:   -inf < -455.141 <    inf | logz: -461.804 +/-  0.110 | dlogz: 518.662 >  0.010]
15it [00:06,  2.13it/s, bound: 0 | nc: 1 | ncall: 515 | eff(%):  2.913 | loglstar:   -inf < -448.594 <    inf | logz: -455.529 +/-  0.118 | dlogz: 516.811 >  0.010]
16it [00:07,  2.10it/s, bound: 0 | nc: 1 | ncall: 516 | eff(%):  3.101 | loglstar:   -inf < -441.979 <    inf | logz: -448.916 +/-  0.118 | dlogz: 510.534 >  0.010]
17it [00:07,  2.19it/s, bound: 0 | nc: 1 | ncall: 517 | eff(%):  3.288 | loglstar:   -inf < -441.419 <    inf | logz: -447.597 +/-  0.108 | dlogz: 503.919 >  0.010]
