Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:333: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:410: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
$M_i\geq-27.0, 3.0<z \leq4.6$
Pixels masked by MC but not already by selfunc: 259
G20.5_zmin3.0zmax4.6_Lmax-27.0: 0.26              21433 vs 28981
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
1it [00:00,  3.07it/s, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf < -6800.805 <    inf | logz: -6807.715 +/-  0.117 | dlogz:    inf >  0.010]
2it [00:00,  3.06it/s, bound: 0 | nc: 1 | ncall: 502 | eff(%):  0.398 | loglstar:   -inf < -2277.522 <    inf | logz: -2284.434 +/-  0.118 | dlogz: 6825.286 >  0.010]
3it [00:00,  3.07it/s, bound: 0 | nc: 1 | ncall: 503 | eff(%):  0.596 | loglstar:   -inf < -1883.989 <    inf | logz: -1890.903 +/-  0.118 | dlogz: 2302.002 >  0.010]
4it [00:01,  3.07it/s, bound: 0 | nc: 1 | ncall: 504 | eff(%):  0.794 | loglstar:   -inf < -1874.309 <    inf | logz: -1881.225 +/-  0.118 | dlogz: 1908.469 >  0.010]
5it [00:01,  3.07it/s, bound: 0 | nc: 1 | ncall: 505 | eff(%):  0.990 | loglstar:   -inf < -1424.981 <    inf | logz: -1431.899 +/-  0.118 | dlogz: 1898.789 >  0.010]
6it [00:01,  3.07it/s, bound: 0 | nc: 1 | ncall: 506 | eff(%):  1.186 | loglstar:   -inf < -1303.693 <    inf | logz: -1310.612 +/-  0.118 | dlogz: 1449.461 >  0.010]
7it [00:02,  3.07it/s, bound: 0 | nc: 1 | ncall: 507 | eff(%):  1.381 | loglstar:   -inf < -1216.689 <    inf | logz: -1223.610 +/-  0.118 | dlogz: 1328.173 >  0.010]
8it [00:02,  3.06it/s, bound: 0 | nc: 1 | ncall: 508 | eff(%):  1.575 | loglstar:   -inf < -1170.855 <    inf | logz: -1177.778 +/-  0.118 | dlogz: 1241.169 >  0.010]
9it [00:02,  3.07it/s, bound: 0 | nc: 1 | ncall: 509 | eff(%):  1.768 | loglstar:   -inf < -635.454 <    inf | logz: -642.379 +/-  0.118 | dlogz: 1195.335 >  0.010]  
10it [00:03,  3.07it/s, bound: 0 | nc: 1 | ncall: 510 | eff(%):  1.961 | loglstar:   -inf < -495.742 <    inf | logz: -502.670 +/-  0.118 | dlogz: 659.934 >  0.010]
11it [00:03,  3.07it/s, bound: 0 | nc: 1 | ncall: 511 | eff(%):  2.153 | loglstar:   -inf < -478.496 <    inf | logz: -485.426 +/-  0.118 | dlogz: 520.223 >  0.010]
12it [00:03,  3.07it/s, bound: 0 | nc: 1 | ncall: 512 | eff(%):  2.344 | loglstar:   -inf < -397.692 <    inf | logz: -404.624 +/-  0.118 | dlogz: 502.977 >  0.010]
13it [00:04,  3.07it/s, bound: 0 | nc: 1 | ncall: 513 | eff(%):  2.534 | loglstar:   -inf < -382.815 <    inf | logz: -389.749 +/-  0.118 | dlogz: 422.172 >  0.010]
14it [00:04,  3.07it/s, bound: 0 | nc: 1 | ncall: 514 | eff(%):  2.724 | loglstar:   -inf < -356.145 <    inf | logz: -363.081 +/-  0.118 | dlogz: 407.295 >  0.010]
15it [00:04,  3.07it/s, bound: 0 | nc: 1 | ncall: 515 | eff(%):  2.913 | loglstar:   -inf < -343.211 <    inf | logz: -350.149 +/-  0.118 | dlogz: 380.625 >  0.010]
16it [00:05,  3.07it/s, bound: 0 | nc: 1 | ncall: 516 | eff(%):  3.101 | loglstar:   -inf < -317.895 <    inf | logz: -324.835 +/-  0.118 | dlogz: 367.692 >  0.010]
17it [00:05,  3.07it/s, bound: 0 | nc: 1 | ncall: 517 | eff(%):  3.288 | loglstar:   -inf < -315.825 <    inf | logz: -322.542 +/-  0.112 | dlogz: 342.375 >  0.010]
18it [00:05,  3.07it/s, bound: 0 | nc: 1 | ncall: 518 | eff(%):  3.475 | loglstar:   -inf < -308.808 <    inf | logz: -315.750 +/-  0.118 | dlogz: 340.080 >  0.010]
19it [00:06,  3.06it/s, bound: 0 | nc: 1 | ncall: 519 | eff(%):  3.661 | loglstar:   -inf < -303.109 <    inf | logz: -310.048 +/-  0.117 | dlogz: 333.287 >  0.010]
20it [00:06,  3.06it/s, bound: 0 | nc: 1 | ncall: 520 | eff(%):  3.846 | loglstar:   -inf < -299.412 <    inf | logz: -306.311 +/-  0.116 | dlogz: 327.582 >  0.010]
21it [00:06,  3.06it/s, bound: 0 | nc: 1 | ncall: 521 | eff(%):  4.031 | loglstar:   -inf < -295.112 <    inf | logz: -302.034 +/-  0.117 | dlogz: 323.844 >  0.010]
22it [00:07,  3.06it/s, bound: 0 | nc: 1 | ncall: 522 | eff(%):  4.215 | loglstar:   -inf < -294.897 <    inf | logz: -300.879 +/-  0.108 | dlogz: 319.565 >  0.010]
23it [00:07,  3.06it/s, bound: 0 | nc: 1 | ncall: 523 | eff(%):  4.398 | loglstar:   -inf < -293.767 <    inf | logz: -299.943 +/-  0.105 | dlogz: 318.408 >  0.010]
24it [00:07,  3.06it/s, bound: 0 | nc: 1 | ncall: 524 | eff(%):  4.580 | loglstar:   -inf < -293.113 <    inf | logz: -299.093 +/-  0.103 | dlogz: 317.469 >  0.010]
25it [00:08,  3.07it/s, bound: 0 | nc: 1 | ncall: 525 | eff(%):  4.762 | loglstar:   -inf < -287.716 <    inf | logz: -294.658 +/-  0.117 | dlogz: 316.617 >  0.010]
26it [00:08,  3.07it/s, bound: 0 | nc: 1 | ncall: 526 | eff(%):  4.943 | loglstar:   -inf < -286.563 <    inf | logz: -293.030 +/-  0.109 | dlogz: 312.180 >  0.010]
27it [00:08,  3.07it/s, bound: 0 | nc: 1 | ncall: 527 | eff(%):  5.123 | loglstar:   -inf < -281.497 <    inf | logz: -288.443 +/-  0.117 | dlogz: 310.550 >  0.010]
28it [00:09,  3.07it/s, bound: 0 | nc: 1 | ncall: 528 | eff(%):  5.303 | loglstar:   -inf < -279.906 <    inf | logz: -286.525 +/-  0.111 | dlogz: 305.961 >  0.010]
29it [00:09,  2.36it/s, bound: 0 | nc: 2 | ncall: 530 | eff(%):  5.472 | loglstar:   -inf < -277.429 <    inf | logz: -284.210 +/-  0.112 | dlogz: 304.042 >  0.010]
