Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:332: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}$'.format(args.Lmax)) #L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:418: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(args.Lmax, args.zmin, args.zmax), fontsize = 20, y = 1, x = 0.375)
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
$M_i\geq-26.0$
0.0<z<=1.0
Pixels masked by MC but not already by selfunc: 131
G20.5_zmin0.0zmax1.0_Lmax-26.0: 0.52              6079 vs 12557
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:146: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
1it [00:00,  3.11it/s, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf < -3017.754 <    inf | logz: -3024.664 +/-  0.117 | dlogz:    inf >  0.010]
2it [00:00,  3.11it/s, bound: 0 | nc: 1 | ncall: 502 | eff(%):  0.398 | loglstar:   -inf < -2364.453 <    inf | logz: -2371.365 +/-  0.118 | dlogz: 3015.520 >  0.010]
3it [00:00,  3.11it/s, bound: 0 | nc: 1 | ncall: 503 | eff(%):  0.596 | loglstar:   -inf < -1451.413 <    inf | logz: -1458.327 +/-  0.118 | dlogz: 2362.219 >  0.010]
4it [00:01,  3.11it/s, bound: 0 | nc: 1 | ncall: 504 | eff(%):  0.794 | loglstar:   -inf < -1292.420 <    inf | logz: -1299.336 +/-  0.118 | dlogz: 1449.179 >  0.010]
5it [00:01,  3.11it/s, bound: 0 | nc: 1 | ncall: 505 | eff(%):  0.990 | loglstar:   -inf < -1222.783 <    inf | logz: -1229.701 +/-  0.118 | dlogz: 1290.186 >  0.010]
6it [00:01,  3.11it/s, bound: 0 | nc: 1 | ncall: 506 | eff(%):  1.186 | loglstar:   -inf < -853.843 <    inf | logz: -860.762 +/-  0.118 | dlogz: 1220.549 >  0.010]  
7it [00:02,  3.11it/s, bound: 0 | nc: 1 | ncall: 507 | eff(%):  1.381 | loglstar:   -inf < -847.414 <    inf | logz: -854.332 +/-  0.117 | dlogz: 851.609 >  0.010] 
8it [00:02,  3.11it/s, bound: 0 | nc: 1 | ncall: 508 | eff(%):  1.575 | loglstar:   -inf < -654.410 <    inf | logz: -661.334 +/-  0.118 | dlogz: 845.176 >  0.010]
9it [00:02,  3.10it/s, bound: 0 | nc: 1 | ncall: 509 | eff(%):  1.768 | loglstar:   -inf < -383.118 <    inf | logz: -390.044 +/-  0.118 | dlogz: 652.176 >  0.010]
10it [00:03,  3.10it/s, bound: 0 | nc: 1 | ncall: 510 | eff(%):  1.961 | loglstar:   -inf < -383.014 <    inf | logz: -388.910 +/-  0.108 | dlogz: 380.884 >  0.010]
11it [00:03,  3.11it/s, bound: 0 | nc: 1 | ncall: 511 | eff(%):  2.153 | loglstar:   -inf < -382.832 <    inf | logz: -388.332 +/-  0.103 | dlogz: 379.749 >  0.010]
12it [00:03,  3.11it/s, bound: 0 | nc: 1 | ncall: 512 | eff(%):  2.344 | loglstar:   -inf < -379.790 <    inf | logz: -386.500 +/-  0.110 | dlogz: 379.168 >  0.010]
13it [00:04,  3.10it/s, bound: 0 | nc: 1 | ncall: 513 | eff(%):  2.534 | loglstar:   -inf < -378.556 <    inf | logz: -384.986 +/-  0.108 | dlogz: 377.335 >  0.010]
14it [00:04,  3.11it/s, bound: 0 | nc: 1 | ncall: 514 | eff(%):  2.724 | loglstar:   -inf < -378.375 <    inf | logz: -384.142 +/-  0.104 | dlogz: 375.818 >  0.010]
