Starting batch job

640it [07:09,  1.45s/it, bound: 0 | nc: 7 | ncall: 1800 | eff(%): 35.556 | loglstar:   -inf <  8.987 <    inf | logz:  3.053 +/-  0.102 | dlogz: 60.529 >  0.010]
641it [07:10,  1.21s/it, bound: 0 | nc: 2 | ncall: 1802 | eff(%): 35.572 | loglstar:   -inf <  9.041 <    inf | logz:  3.249 +/-  0.101 | dlogz: 60.292 >  0.010]
642it [07:11,  1.14s/it, bound: 0 | nc: 3 | ncall: 1805 | eff(%): 35.568 | loglstar:   -inf <  9.212 <    inf | logz:  3.430 +/-  0.101 | dlogz: 60.095 >  0.010]
643it [07:11,  1.11it/s, bound: 0 | nc: 1 | ncall: 1806 | eff(%): 35.604 | loglstar:   -inf <  9.796 <    inf | logz:  3.654 +/-  0.101 | dlogz: 59.911 >  0.010]
644it [07:12,  1.08it/s, bound: 0 | nc: 3 | ncall: 1809 | eff(%): 35.600 | loglstar:   -inf <  9.869 <    inf | logz:  3.890 +/-  0.101 | dlogz: 59.686 >  0.010]
645it [07:12,  1.34it/s, bound: 0 | nc: 1 | ncall: 1810 | eff(%): 35.635 | loglstar:   -inf < 10.408 <    inf | logz:  4.149 +/-  0.101 | dlogz: 59.447 >  0.010]
646it [07:13,  1.22it/s, bound: 0 | nc: 3 | ncall: 1813 | eff(%): 35.632 | loglstar:   -inf < 10.464 <    inf | logz:  4.408 +/-  0.101 | dlogz: 59.186 >  0.010]
647it [07:14,  1.30it/s, bound: 0 | nc: 2 | ncall: 1815 | eff(%): 35.647 | loglstar:   -inf < 11.090 <    inf | logz:  4.698 +/-  0.102 | dlogz: 58.925 >  0.010]Submitted batch job 37223106

648it [07:15,  1.03s/it, bound: 0 | nc: 5 | ncall: 1820 | eff(%): 35.604 | loglstar:   -inf < 11.276 <    inf | logz:  5.006 +/-  0.102 | dlogz: 58.633 >  0.010]
649it [07:17,  1.32s/it, bound: 0 | nc: 6 | ncall: 1826 | eff(%): 35.542 | loglstar:   -inf < 11.866 <    inf | logz:  5.346 +/-  0.103 | dlogz: 58.323 >  0.010]
650it [07:19,  1.32s/it, bound: 0 | nc: 4 | ncall: 1830 | eff(%): 35.519 | loglstar:   -inf < 12.156 <    inf | logz:  5.706 +/-  0.103 | dlogz: 57.981 >  0.010]Submitted batch job 37223155

651it [07:22,  1.91s/it, bound: 0 | nc: 10 | ncall: 1840 | eff(%): 35.380 | loglstar:   -inf < 12.653 <    inf | logz:  6.081 +/-  0.104 | dlogz: 57.620 >  0.010]Submitted batch job 37223158

652it [07:24,  1.84s/it, bound: 0 | nc: 5 | ncall: 1845 | eff(%): 35.339 | loglstar:   -inf < 12.896 <    inf | logz:  6.447 +/-  0.104 | dlogz: 57.242 >  0.010] 
653it [07:24,  1.39s/it, bound: 0 | nc: 1 | ncall: 1846 | eff(%): 35.374 | loglstar:   -inf < 12.991 <    inf | logz:  6.755 +/-  0.104 | dlogz: 56.874 >  0.010]
654it [07:25,  1.37s/it, bound: 0 | nc: 4 | ncall: 1850 | eff(%): 35.351 | loglstar:   -inf < 13.008 <    inf | logz:  7.001 +/-  0.103 | dlogz: 56.565 >  0.010]
655it [07:26,  1.06s/it, bound: 0 | nc: 1 | ncall: 1851 | eff(%): 35.386 | loglstar:   -inf < 13.024 <    inf | logz:  7.201 +/-  0.103 | dlogz: 56.316 >  0.010]
656it [07:26,  1.19it/s, bound: 0 | nc: 1 | ncall: 1852 | eff(%): 35.421 | loglstar:   -inf < 14.345 <    inf | logz:  7.560 +/-  0.104 | dlogz: 56.114 >  0.010]
657it [07:27,  1.27it/s, bound: 0 | nc: 2 | ncall: 1854 | eff(%): 35.437 | loglstar:   -inf < 14.388 <    inf | logz:  7.957 +/-  0.104 | dlogz: 55.753 >  0.010]
658it [07:27,  1.34it/s, bound: 0 | nc: 2 | ncall: 1856 | eff(%): 35.453 | loglstar:   -inf < 14.455 <    inf | logz:  8.253 +/-  0.104 | dlogz: 55.354 >  0.010]
659it [07:28,  1.60it/s, bound: 0 | nc: 1 | ncall: 1857 | eff(%): 35.487 | loglstar:   -inf < 14.527 <    inf | logz:  8.496 +/-  0.103 | dlogz: 55.056 >  0.010]
660it [07:29,  1.36it/s, bound: 0 | nc: 3 | ncall: 1860 | eff(%): 35.484 | loglstar:   -inf < 14.772 <    inf | logz:  8.722 +/-  0.103 | dlogz: 54.811 >  0.010]Submitted batch job 37223162

661it [07:32,  1.40s/it, bound: 0 | nc: 9 | ncall: 1869 | eff(%): 35.367 | loglstar:   -inf < 14.939 <    inf | logz:  8.943 +/-  0.102 | dlogz: 54.583 >  0.010]
662it [07:33,  1.38s/it, bound: 0 | nc: 4 | ncall: 1873 | eff(%): 35.344 | loglstar:   -inf < 15.008 <    inf | logz:  9.143 +/-  0.102 | dlogz: 54.361 >  0.010]
