Starting batch job
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
M_i<=-20.0
Pixels masked by MC but not already by selfunc: 2468
G20.5_zmin0.0zmax1.0_Lmax-20.0: 0.33              218365 vs 324336
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:288: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
29it [00:10,  3.02it/s, bound: 0 | nc: 1 | ncall: 530 | eff(%):  5.472 | loglstar:   -inf < -419.282 <    inf | logz: -426.243 +/-  0.118 | dlogz: 481.026 >  0.010]
30it [00:10,  3.02it/s, bound: 0 | nc: 1 | ncall: 531 | eff(%):  5.650 | loglstar:   -inf < -418.461 <    inf | logz: -424.796 +/-  0.109 | dlogz: 475.152 >  0.010]
31it [00:10,  3.02it/s, bound: 0 | nc: 1 | ncall: 532 | eff(%):  5.827 | loglstar:   -inf < -416.225 <    inf | logz: -422.926 +/-  0.111 | dlogz: 473.703 >  0.010]
32it [00:11,  3.02it/s, bound: 0 | nc: 1 | ncall: 533 | eff(%):  6.004 | loglstar:   -inf < -416.056 <    inf | logz: -421.945 +/-  0.105 | dlogz: 471.831 >  0.010]
33it [00:11,  3.02it/s, bound: 0 | nc: 1 | ncall: 534 | eff(%):  6.180 | loglstar:   -inf < -415.719 <    inf | logz: -421.351 +/-  0.102 | dlogz: 470.848 >  0.010]
34it [00:11,  3.02it/s, bound: 0 | nc: 1 | ncall: 535 | eff(%):  6.355 | loglstar:   -inf < -415.583 <    inf | logz: -420.907 +/-  0.099 | dlogz: 470.252 >  0.010]
35it [00:12,  3.01it/s, bound: 0 | nc: 1 | ncall: 536 | eff(%):  6.530 | loglstar:   -inf < -414.740 <    inf | logz: -420.415 +/-  0.098 | dlogz: 469.806 >  0.010]
36it [00:12,  3.01it/s, bound: 0 | nc: 1 | ncall: 537 | eff(%):  6.704 | loglstar:   -inf < -405.524 <    inf | logz: -412.503 +/-  0.118 | dlogz: 469.312 >  0.010]
37it [00:12,  3.01it/s, bound: 0 | nc: 1 | ncall: 538 | eff(%):  6.877 | loglstar:   -inf < -405.474 <    inf | logz: -411.389 +/-  0.108 | dlogz: 461.398 >  0.010]
38it [00:13,  3.01it/s, bound: 0 | nc: 1 | ncall: 539 | eff(%):  7.050 | loglstar:   -inf < -404.311 <    inf | logz: -410.496 +/-  0.105 | dlogz: 460.282 >  0.010]
