Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:326: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:409: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
$M_i\geq-26.0, 0.0<z \leq1.0$
Pixels masked by MC but not already by selfunc: 131
G20.5_zmin0.0zmax1.0_Lmax-26.0: 0.52              6079 vs 12557
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
1it [00:00,  2.21it/s, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf < -9429.867 <    inf | logz: -9436.776 +/-  0.117 | dlogz:    inf >  0.010]
2it [00:00,  2.22it/s, bound: 0 | nc: 1 | ncall: 502 | eff(%):  0.398 | loglstar:   -inf < -9253.797 <    inf | logz: -9260.709 +/-  0.118 | dlogz: 9427.599 >  0.010]
3it [00:01,  2.23it/s, bound: 0 | nc: 1 | ncall: 503 | eff(%):  0.596 | loglstar:   -inf < -4509.529 <    inf | logz: -4516.443 +/-  0.118 | dlogz: 9251.529 >  0.010]
4it [00:01,  2.24it/s, bound: 0 | nc: 1 | ncall: 504 | eff(%):  0.794 | loglstar:   -inf < -1913.606 <    inf | logz: -1920.522 +/-  0.118 | dlogz: 4507.261 >  0.010]
5it [00:02,  2.24it/s, bound: 0 | nc: 1 | ncall: 505 | eff(%):  0.990 | loglstar:   -inf < -1659.155 <    inf | logz: -1666.073 +/-  0.118 | dlogz: 1911.338 >  0.010]
6it [00:02,  2.24it/s, bound: 0 | nc: 1 | ncall: 506 | eff(%):  1.186 | loglstar:   -inf < -995.772 <    inf | logz: -1002.692 +/-  0.118 | dlogz: 1656.887 >  0.010] 
7it [00:03,  2.24it/s, bound: 0 | nc: 1 | ncall: 507 | eff(%):  1.381 | loglstar:   -inf < -379.787 <    inf | logz: -386.708 +/-  0.118 | dlogz: 993.504 >  0.010]  
8it [00:03,  2.25it/s, bound: 0 | nc: 1 | ncall: 508 | eff(%):  1.575 | loglstar:   -inf < -378.458 <    inf | logz: -384.956 +/-  0.110 | dlogz: 377.518 >  0.010]
9it [00:04,  2.25it/s, bound: 0 | nc: 1 | ncall: 509 | eff(%):  1.768 | loglstar:   -inf < -364.066 <    inf | logz: -370.992 +/-  0.118 | dlogz: 375.764 >  0.010]
10it [00:04,  2.25it/s, bound: 0 | nc: 1 | ncall: 510 | eff(%):  1.961 | loglstar:   -inf < -363.677 <    inf | logz: -369.747 +/-  0.108 | dlogz: 361.798 >  0.010]
11it [00:04,  2.25it/s, bound: 0 | nc: 1 | ncall: 511 | eff(%):  2.153 | loglstar:   -inf < -361.769 <    inf | logz: -368.294 +/-  0.108 | dlogz: 360.551 >  0.010]
