Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:332: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}$'.format(args.Lmax)) #L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:418: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(args.Lmax, args.zmin, args.zmax), fontsize = 20, y = 1, x = 0.375)
$M_i\geq-26.0$
2.0<z<=3.0
Pixels masked by MC but not already by selfunc: 2573
G20.5_zmin2.0zmax3.0_Lmax-26.0: 0.29              184109 vs 259755
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:126: RuntimeWarning: divide by zero encountered in divide
  return fduty/2*special.erfc(np.log(10**M_min/bins)/(np.sqrt(2)*np.log(10)*sigma))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:146: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
1it [00:00,  3.07it/s, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf < -11546.303 <    inf | logz: -11553.213 +/-  0.117 | dlogz:    inf >  0.010]
2it [00:00,  3.07it/s, bound: 0 | nc: 1 | ncall: 502 | eff(%):  0.398 | loglstar:   -inf < -11352.242 <    inf | logz: -11359.154 +/-  0.118 | dlogz: 11599.476 >  0.010]
3it [00:00,  3.07it/s, bound: 0 | nc: 1 | ncall: 503 | eff(%):  0.596 | loglstar:   -inf < -11265.225 <    inf | logz: -11272.139 +/-  0.118 | dlogz: 11405.416 >  0.010]
4it [00:01,  3.07it/s, bound: 0 | nc: 1 | ncall: 504 | eff(%):  0.794 | loglstar:   -inf < -11256.590 <    inf | logz: -11263.506 +/-  0.118 | dlogz: 11318.398 >  0.010]
5it [00:01,  3.07it/s, bound: 0 | nc: 1 | ncall: 505 | eff(%):  0.990 | loglstar:   -inf < -11122.824 <    inf | logz: -11129.742 +/-  0.118 | dlogz: 11309.763 >  0.010]
6it [00:01,  3.07it/s, bound: 0 | nc: 1 | ncall: 506 | eff(%):  1.186 | loglstar:   -inf < -11083.184 <    inf | logz: -11090.104 +/-  0.118 | dlogz: 11175.997 >  0.010]
7it [00:02,  3.07it/s, bound: 0 | nc: 1 | ncall: 507 | eff(%):  1.381 | loglstar:   -inf < -11074.418 <    inf | logz: -11081.339 +/-  0.118 | dlogz: 11136.358 >  0.010]
8it [00:02,  3.07it/s, bound: 0 | nc: 1 | ncall: 508 | eff(%):  1.575 | loglstar:   -inf < -10951.761 <    inf | logz: -10958.685 +/-  0.118 | dlogz: 11127.591 >  0.010]
9it [00:02,  3.07it/s, bound: 0 | nc: 1 | ncall: 509 | eff(%):  1.768 | loglstar:   -inf < -10765.146 <    inf | logz: -10772.072 +/-  0.118 | dlogz: 11004.935 >  0.010]
10it [00:03,  3.07it/s, bound: 0 | nc: 1 | ncall: 510 | eff(%):  1.961 | loglstar:   -inf < -10601.242 <    inf | logz: -10608.170 +/-  0.118 | dlogz: 10818.320 >  0.010]
11it [00:03,  3.07it/s, bound: 0 | nc: 1 | ncall: 511 | eff(%):  2.153 | loglstar:   -inf < -10453.672 <    inf | logz: -10460.601 +/-  0.118 | dlogz: 10654.415 >  0.010]
12it [00:03,  3.07it/s, bound: 0 | nc: 1 | ncall: 512 | eff(%):  2.344 | loglstar:   -inf < -10310.054 <    inf | logz: -10316.986 +/-  0.118 | dlogz: 10506.845 >  0.010]
13it [00:04,  3.07it/s, bound: 0 | nc: 1 | ncall: 513 | eff(%):  2.534 | loglstar:   -inf < -10084.832 <    inf | logz: -10091.765 +/-  0.118 | dlogz: 10363.228 >  0.010]
14it [00:04,  3.07it/s, bound: 0 | nc: 1 | ncall: 514 | eff(%):  2.724 | loglstar:   -inf < -9518.591 <    inf | logz: -9525.527 +/-  0.118 | dlogz: 10138.005 >  0.010]  
15it [00:04,  3.07it/s, bound: 0 | nc: 1 | ncall: 515 | eff(%):  2.913 | loglstar:   -inf < -9369.718 <    inf | logz: -9376.655 +/-  0.118 | dlogz: 9571.765 >  0.010] 
16it [00:05,  3.07it/s, bound: 0 | nc: 1 | ncall: 516 | eff(%):  3.101 | loglstar:   -inf < -9182.548 <    inf | logz: -9189.487 +/-  0.118 | dlogz: 9422.891 >  0.010]
17it [00:05,  3.07it/s, bound: 0 | nc: 1 | ncall: 517 | eff(%):  3.288 | loglstar:   -inf < -8975.612 <    inf | logz: -8982.554 +/-  0.118 | dlogz: 9235.721 >  0.010]
18it [00:05,  3.07it/s, bound: 0 | nc: 1 | ncall: 518 | eff(%):  3.475 | loglstar:   -inf < -8766.188 <    inf | logz: -8773.132 +/-  0.118 | dlogz: 9028.785 >  0.010]
19it [00:06,  3.07it/s, bound: 0 | nc: 1 | ncall: 519 | eff(%):  3.661 | loglstar:   -inf < -8693.705 <    inf | logz: -8700.651 +/-  0.118 | dlogz: 8819.362 >  0.010]
20it [00:06,  3.07it/s, bound: 0 | nc: 1 | ncall: 520 | eff(%):  3.846 | loglstar:   -inf < -8215.295 <    inf | logz: -8222.243 +/-  0.118 | dlogz: 8746.878 >  0.010]
21it [00:06,  3.07it/s, bound: 0 | nc: 1 | ncall: 521 | eff(%):  4.031 | loglstar:   -inf < -7878.367 <    inf | logz: -7885.316 +/-  0.118 | dlogz: 8268.469 >  0.010]
22it [00:07,  3.07it/s, bound: 0 | nc: 1 | ncall: 522 | eff(%):  4.215 | loglstar:   -inf < -7866.909 <    inf | logz: -7873.861 +/-  0.118 | dlogz: 7931.540 >  0.010]
23it [00:07,  3.07it/s, bound: 0 | nc: 1 | ncall: 523 | eff(%):  4.398 | loglstar:   -inf < -7740.426 <    inf | logz: -7747.380 +/-  0.118 | dlogz: 7920.082 >  0.010]
24it [00:08,  2.36it/s, bound: 0 | nc: 2 | ncall: 525 | eff(%):  4.571 | loglstar:   -inf < -7720.251 <    inf | logz: -7727.207 +/-  0.118 | dlogz: 7793.599 >  0.010]
25it [00:08,  2.53it/s, bound: 0 | nc: 1 | ncall: 526 | eff(%):  4.753 | loglstar:   -inf < -7265.409 <    inf | logz: -7272.367 +/-  0.118 | dlogz: 7773.424 >  0.010]
26it [00:08,  2.67it/s, bound: 0 | nc: 1 | ncall: 527 | eff(%):  4.934 | loglstar:   -inf < -7249.793 <    inf | logz: -7256.753 +/-  0.118 | dlogz: 7318.582 >  0.010]
27it [00:09,  2.78it/s, bound: 0 | nc: 1 | ncall: 528 | eff(%):  5.114 | loglstar:   -inf < -7071.491 <    inf | logz: -7078.453 +/-  0.118 | dlogz: 7302.966 >  0.010]
28it [00:09,  2.86it/s, bound: 0 | nc: 1 | ncall: 529 | eff(%):  5.293 | loglstar:   -inf < -7030.978 <    inf | logz: -7037.941 +/-  0.118 | dlogz: 7124.664 >  0.010]
29it [00:09,  2.92it/s, bound: 0 | nc: 1 | ncall: 530 | eff(%):  5.472 | loglstar:   -inf < -6541.824 <    inf | logz: -6548.790 +/-  0.118 | dlogz: 7084.151 >  0.010]
30it [00:10,  2.96it/s, bound: 0 | nc: 1 | ncall: 531 | eff(%):  5.650 | loglstar:   -inf < -6541.550 <    inf | logz: -6547.592 +/-  0.108 | dlogz: 6594.997 >  0.010]
31it [00:10,  2.99it/s, bound: 0 | nc: 1 | ncall: 532 | eff(%):  5.827 | loglstar:   -inf < -6447.546 <    inf | logz: -6454.516 +/-  0.118 | dlogz: 6593.798 >  0.010]
32it [00:10,  3.01it/s, bound: 0 | nc: 1 | ncall: 533 | eff(%):  6.004 | loglstar:   -inf < -6246.681 <    inf | logz: -6253.653 +/-  0.118 | dlogz: 6500.719 >  0.010]
33it [00:11,  3.03it/s, bound: 0 | nc: 1 | ncall: 534 | eff(%):  6.180 | loglstar:   -inf < -6188.919 <    inf | logz: -6195.893 +/-  0.118 | dlogz: 6299.854 >  0.010]
34it [00:11,  3.04it/s, bound: 0 | nc: 1 | ncall: 535 | eff(%):  6.355 | loglstar:   -inf < -6148.262 <    inf | logz: -6155.237 +/-  0.118 | dlogz: 6242.092 >  0.010]
35it [00:11,  3.05it/s, bound: 0 | nc: 1 | ncall: 536 | eff(%):  6.530 | loglstar:   -inf < -5824.155 <    inf | logz: -5831.133 +/-  0.118 | dlogz: 6201.435 >  0.010]
