Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:332: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}$'.format(args.Lmax)) #L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:418: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(args.Lmax, args.zmin, args.zmax), fontsize = 20, y = 1, x = 0.375)
$M_i\geq-20.0$
3.0<z<=4.6
Pixels masked by MC but not already by selfunc: 307
G20.5_zmin3.0zmax4.6_Lmax-20.0: 0.23              28043 vs 36458
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:146: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
1it [00:00,  2.86it/s, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf < -6737.769 <    inf | logz: -6744.679 +/-  0.117 | dlogz:    inf >  0.010]
2it [00:00,  2.87it/s, bound: 0 | nc: 1 | ncall: 502 | eff(%):  0.398 | loglstar:   -inf < -6039.889 <    inf | logz: -6046.801 +/-  0.118 | dlogz: 6759.743 >  0.010]
3it [00:01,  2.85it/s, bound: 0 | nc: 1 | ncall: 503 | eff(%):  0.596 | loglstar:   -inf < -3607.465 <    inf | logz: -3614.379 +/-  0.118 | dlogz: 6061.863 >  0.010]
4it [00:01,  2.84it/s, bound: 0 | nc: 1 | ncall: 504 | eff(%):  0.794 | loglstar:   -inf < -2350.109 <    inf | logz: -2357.025 +/-  0.118 | dlogz: 3629.439 >  0.010]
5it [00:02,  2.08it/s, bound: 0 | nc: 2 | ncall: 506 | eff(%):  0.988 | loglstar:   -inf < -2004.053 <    inf | logz: -2010.970 +/-  0.118 | dlogz: 2372.083 >  0.010]
6it [00:02,  2.29it/s, bound: 0 | nc: 1 | ncall: 507 | eff(%):  1.183 | loglstar:   -inf < -1500.968 <    inf | logz: -1507.887 +/-  0.118 | dlogz: 2026.026 >  0.010]
7it [00:02,  2.44it/s, bound: 0 | nc: 1 | ncall: 508 | eff(%):  1.378 | loglstar:   -inf < -1493.590 <    inf | logz: -1500.511 +/-  0.118 | dlogz: 1522.941 >  0.010]
8it [00:03,  2.55it/s, bound: 0 | nc: 1 | ncall: 509 | eff(%):  1.572 | loglstar:   -inf < -1413.988 <    inf | logz: -1420.911 +/-  0.118 | dlogz: 1515.563 >  0.010]
9it [00:03,  2.63it/s, bound: 0 | nc: 1 | ncall: 510 | eff(%):  1.765 | loglstar:   -inf < -978.822 <    inf | logz: -985.748 +/-  0.118 | dlogz: 1435.961 >  0.010]  
10it [00:03,  2.69it/s, bound: 0 | nc: 1 | ncall: 511 | eff(%):  1.957 | loglstar:   -inf < -973.118 <    inf | logz: -980.039 +/-  0.117 | dlogz: 1000.796 >  0.010]
11it [00:04,  2.73it/s, bound: 0 | nc: 1 | ncall: 512 | eff(%):  2.148 | loglstar:   -inf < -808.314 <    inf | logz: -815.244 +/-  0.118 | dlogz: 995.085 >  0.010] 
