Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:326: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:409: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
$M_i\geq-26.0, 0.0<z \leq1.0$
Pixels masked by MC but not already by selfunc: 131
G20.5_zmin0.0zmax1.0_Lmax-26.0: 0.52              6079 vs 12557
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:125: RuntimeWarning: divide by zero encountered in divide
  return fduty/2*special.erfc(np.log(10**M_min/bins)/(np.sqrt(2)*np.log(10)*sigma))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
1it [00:07,  7.19s/it, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf < -11771.604 <    inf | logz: -11778.514 +/-  0.117 | dlogz:    inf >  0.010]
2it [00:14,  7.24s/it, bound: 0 | nc: 1 | ncall: 502 | eff(%):  0.398 | loglstar:   -inf < -11750.499 <    inf | logz: -11757.410 +/-  0.118 | dlogz: 11769.072 >  0.010]
3it [00:21,  7.26s/it, bound: 0 | nc: 1 | ncall: 503 | eff(%):  0.596 | loglstar:   -inf < -10970.503 <    inf | logz: -10977.417 +/-  0.118 | dlogz: 11747.967 >  0.010]
4it [00:28,  7.22s/it, bound: 0 | nc: 1 | ncall: 504 | eff(%):  0.794 | loglstar:   -inf < -10527.297 <    inf | logz: -10534.213 +/-  0.118 | dlogz: 10967.971 >  0.010]
5it [00:35,  7.13s/it, bound: 0 | nc: 1 | ncall: 505 | eff(%):  0.990 | loglstar:   -inf < -9925.317 <    inf | logz: -9932.235 +/-  0.118 | dlogz: 10524.766 >  0.010]  
6it [00:42,  7.11s/it, bound: 0 | nc: 1 | ncall: 506 | eff(%):  1.186 | loglstar:   -inf < -9515.668 <    inf | logz: -9522.588 +/-  0.118 | dlogz: 9922.786 >  0.010] 
7it [00:49,  7.09s/it, bound: 0 | nc: 1 | ncall: 507 | eff(%):  1.381 | loglstar:   -inf < -9164.068 <    inf | logz: -9170.990 +/-  0.118 | dlogz: 9513.137 >  0.010]
8it [00:57,  7.14s/it, bound: 0 | nc: 1 | ncall: 508 | eff(%):  1.575 | loglstar:   -inf < -8940.976 <    inf | logz: -8947.899 +/-  0.118 | dlogz: 9161.536 >  0.010]
9it [01:04,  7.20s/it, bound: 0 | nc: 1 | ncall: 509 | eff(%):  1.768 | loglstar:   -inf < -8902.726 <    inf | logz: -8909.651 +/-  0.118 | dlogz: 8938.444 >  0.010]
10it [01:11,  7.19s/it, bound: 0 | nc: 1 | ncall: 510 | eff(%):  1.961 | loglstar:   -inf < -8118.956 <    inf | logz: -8125.884 +/-  0.118 | dlogz: 8900.194 >  0.010]
11it [01:18,  7.17s/it, bound: 0 | nc: 1 | ncall: 511 | eff(%):  2.153 | loglstar:   -inf < -7945.379 <    inf | logz: -7952.309 +/-  0.118 | dlogz: 8116.425 >  0.010]
12it [01:26,  7.20s/it, bound: 0 | nc: 1 | ncall: 512 | eff(%):  2.344 | loglstar:   -inf < -7085.546 <    inf | logz: -7092.478 +/-  0.118 | dlogz: 7942.848 >  0.010]
13it [01:33,  7.23s/it, bound: 0 | nc: 1 | ncall: 513 | eff(%):  2.534 | loglstar:   -inf < -6957.016 <    inf | logz: -6963.950 +/-  0.118 | dlogz: 7083.014 >  0.010]
14it [01:40,  7.24s/it, bound: 0 | nc: 1 | ncall: 514 | eff(%):  2.724 | loglstar:   -inf < -6501.570 <    inf | logz: -6508.505 +/-  0.118 | dlogz: 6954.484 >  0.010]
15it [01:48,  7.27s/it, bound: 0 | nc: 1 | ncall: 515 | eff(%):  2.913 | loglstar:   -inf < -6501.434 <    inf | logz: -6507.361 +/-  0.108 | dlogz: 6499.038 >  0.010]
16it [01:55,  7.28s/it, bound: 0 | nc: 1 | ncall: 516 | eff(%):  3.101 | loglstar:   -inf < -6388.296 <    inf | logz: -6395.236 +/-  0.118 | dlogz: 6497.892 >  0.010]
17it [02:02,  7.24s/it, bound: 0 | nc: 1 | ncall: 517 | eff(%):  3.288 | loglstar:   -inf < -6298.652 <    inf | logz: -6305.594 +/-  0.118 | dlogz: 6385.765 >  0.010]
18it [02:09,  7.20s/it, bound: 0 | nc: 1 | ncall: 518 | eff(%):  3.475 | loglstar:   -inf < -6258.470 <    inf | logz: -6265.414 +/-  0.118 | dlogz: 6296.121 >  0.010]
19it [02:16,  7.15s/it, bound: 0 | nc: 1 | ncall: 519 | eff(%):  3.661 | loglstar:   -inf < -6005.641 <    inf | logz: -6012.587 +/-  0.118 | dlogz: 6255.938 >  0.010]
20it [02:23,  7.14s/it, bound: 0 | nc: 1 | ncall: 520 | eff(%):  3.846 | loglstar:   -inf < -5617.131 <    inf | logz: -5624.079 +/-  0.118 | dlogz: 6003.109 >  0.010]
21it [02:30,  7.14s/it, bound: 0 | nc: 1 | ncall: 521 | eff(%):  4.031 | loglstar:   -inf < -5612.473 <    inf | logz: -5619.404 +/-  0.117 | dlogz: 5614.600 >  0.010]
22it [02:38,  7.14s/it, bound: 0 | nc: 1 | ncall: 522 | eff(%):  4.215 | loglstar:   -inf < -5556.072 <    inf | logz: -5563.024 +/-  0.118 | dlogz: 5609.922 >  0.010]
23it [02:45,  7.18s/it, bound: 0 | nc: 1 | ncall: 523 | eff(%):  4.398 | loglstar:   -inf < -5507.790 <    inf | logz: -5514.744 +/-  0.118 | dlogz: 5553.541 >  0.010]
24it [02:52,  7.21s/it, bound: 0 | nc: 1 | ncall: 524 | eff(%):  4.580 | loglstar:   -inf < -5452.739 <    inf | logz: -5459.695 +/-  0.118 | dlogz: 5505.259 >  0.010]
25it [02:59,  7.25s/it, bound: 0 | nc: 1 | ncall: 525 | eff(%):  4.762 | loglstar:   -inf < -5349.360 <    inf | logz: -5356.318 +/-  0.118 | dlogz: 5450.207 >  0.010]
